"superficie_total_finale","superficie_mais_finale","sexe","age","etude","vilage","commune","type_agri","culture1","culture2","culture3","unite_superficie_maïs","unite_superficie_total","expérience","phenomene_clima_obs","liste_phenomene_clima_obs","effets_phenomene_clima_obs","moyen_gestion_risques","moyen1","Moyen2","Moyen3","possession_telephone","acces_internet","Utilisation_outils_numeriques","precisez_lesquels","frequence_appli_mobiles","frequence_plateformes_web?","frequence_SMS_alerte pretoce?","frequence_reseaux_sociaux agricoles","frequence_autres_outils","obstacles_au_numerique","informations_souhaitee_recevoir","forme_reception_préfere","langues_adaptes","Langue_locale_majoritaire","fonctionalite_application","caracteristique_principale_application","gestionnaire","appli_numerique_gere_aleas_climatiques","conditions_utilisation","contribution_symbolique","suggestions"
9.37421880545491,4.06818384663533,"Homme","41 à 60 ans","Aucun","Amouloko","Adjohoun","Pluvial","Maïs","Soja","Maïs","Hectare","ha","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Dégradation des sols","OUI","Semis précoce","Utilisation des variétés résistance aux stress","Semis échelonné","Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","Quotidiennement","Jamais","Rarement","Jamais","Jamais","Manque de formation, Langue/Compréhension, Manque de pertinence des informations","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","SMS, Application mobile, Radio locale","Langues locales","Bariba","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Des maladies","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée","Oui","Formations préalable, Gratuité du service, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
6.88778895169674,2.82647287923046,"Homme","25 à 40 ans","Supérieure","ZOKPEDJI","Ouassa-Péhunco","Pluvial","Maïs","Soja","Niebé","KANTI","Hectare","Plus de 10 ans","OUI","Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Maladies ou  ravageurs,","Non","Semis précoce","Internet et les ateliers organisés par le service climatique au Bénin","Internet et les ateliers","Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","jamais","Mensuellement","Hebdomadairement","Quotidiennement","Rarement","Manque de réseau, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux","Francais, Audio, Langues locales","Bariba","D'échanger avec d'autres producteurs, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Accès aux intrants agricoles","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée,","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","A discuter","Non"
0,0,"Homme","41 à 60 ans","Aucun","Katagon","Parakou","Mixte","Maïs","Soja","Niebé","Hectare","Hectare","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies","Baisse de rendement, Dégradation des sols","Non","Suivre la météo Bénin","Utilisation des variétés résistance aux stress","Internet et les ateliers","Oui, basique ( appels/ SMS)","Oui","Non","Application mobile, Plateforme web, Réseaux sociaux agricoles","Hebdomadairement","Hebdomadairement","Hebdomadairement","Quotidiennement","Jamais","Manque de réseau, Manque de formation","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau","SMS,","Francais, Images/Pictogrammes","Goun","D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...)","Formation","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Non","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
4.41842483526757,2.36578965762049,"Homme","41 à 60 ans","Supérieure","Amouloko","Bopa","Mixte","Maïs","Soja","Soja","Hectare","Hectare","Plus de 10 ans","OUI","Sécheresses, Retards de pluies","Baisse de rendement, Maladies ou  ravageurs, Dégradation des sols","Non","Semis précoce","Utilisation des variétés résistance aux stress","Internet et les ateliers","Oui , smartphone","Non","Non","Application mobile,","Jamais","Jamais","Hebdomadairement","Mensuellement","Mensuellement","Manque de réseau, Cout d'accès à internet","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","Application mobile","Langues locales","Goun","D'enregistrer  vos données de culture (dates, rendements,  superficies), D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Formation","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Oui","Formations préalable, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
3.86834472993815,2.49487394687035,"Homme","25 à 40 ans","Supérieure","Amouloko","Dogbo","Mixte","Maïs","Soja","Soja","Hectare","KANTI","Moins de 05 ans","OUI","Inondations","Baisse de rendement, Pertes totales, Maladies ou  ravageurs, Dégradation des sols,","OUI","Semis précoce","Internet et les ateliers organisés par le service climatique au Bénin","Internet et les ateliers","Oui, basique ( appels/ SMS)","Oui","Non","Application mobile,","Quotidiennement","Jamais","Jamais","Quotidiennement","Jamais","Manque de réseau, Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","Radio locale","Francais, Audio, Langues locales","Fon","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' obtenir des conseils personnalisés, Avoir accès aux intrants agricoles.","Accès aux intrants agricoles","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée,","Oui","Formations préalable, Garantie de fiabilité des informations","Oui","Non"
0,0,"Homme","41 à 60 ans","Aucun","Amouloko","Misserete","Pluvial","Maïs","Sorgho","Niebé","Hectare","KANTI","Moins de 05 ans","OUI","Sécheresses, Retards de pluies","Baisse de rendement, Pertes totales, Maladies ou  ravageurs,","Non","Suivre la météo Bénin","Utilisation des variétés résistance aux stress","Semis échelonné","Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","Hebdomadairement","Hebdomadairement","Jamais","Quotidiennement","Quotidiennement","Manque de réseau, Manque de formation, Langue/Compréhension, Manque de pertinence des informations, Ah","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux","Langues locales","Bariba","D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","None","Coopérative/groupement, ONG","Peut- être","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
1.26038434172411,1.26038434172411,"Homme","41 à 60 ans","Supérieure","Houekpa kpota","Misserete","Pluvial","Ananas","Choux","Maïs","Hetare","KANTI","Moins de 05 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Maladies ou  ravageurs","Non","Suivre la météo Bénin","Internet et les ateliers organisés par le service climatique au Bénin","Semis échelonné","Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","Hebdomadairement","jamais","Rarement","Rarement","Jamais","Manque de formation, Langue/Compréhension","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile","Langues locales","Fon","D'échanger avec d'autres producteurs, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Utilisable en absence de la connexion","ONG, Recherche","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","A discuter","Non"
14.8315184249049,6.21825178902867,"Homme","25 à 40 ans","Secondaire","ZOKPEDJI","Misserete","Pluvial","Coton","Choux","Maïs","Hectare","Hectare","Plus de 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Pertes totales, Maladies ou  ravageurs,","Non","Semis précoce","Utilisation des variétés résistance aux stress","Semis échelonné","Oui , smartphone","Oui","Non","Réseaux sociaux agricoles","Jamais","Mensuellement","Jamais","Quotidiennement","Jamais","Manque de réseau, Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS,","Langues locales","Goun","La disponibilité des engrais chimiques","Très flexible pour les meilleures formations avec supports et attestations ou diplômes après formations","Ministère de l'Agriculture","Non","Langues compréhensibles","A discuter","Non"
10.4226385541902,4.22746887893487,"Femme","41 à 60 ans","Supérieure","ADANDRO-AKODE","Dogbo","Mixte","Maïs","Riz","Maïs","Hectare","Hectare","05 à 10 ans","OUI","Inondations, Retards de pluies","Baisse de rendement","Non","Semis précoce","Utilisation des variétés résistance aux stress","Internet et les ateliers","Oui , smartphone","Non","Non","SMS d'alerte météo, Réseaux sociaux agricoles","jamais","Mensuellement","Hebdomadairement","Quotidiennement","Mensuellement","Manque de réseau, Cout d'accès à internet","Prévisions météorologiques localisées, Conseils techniques de  production, Suivi des prix des produits agricoles","SMS, Message vocaux, Radio locale,","Langues locales","Fon","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Des maladies","Ministère de l'Agriculture","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","A discuter","Non"
8.68917965988213,3.05336412394562,"Homme","25 à 40 ans","Aucun","Amouloko","Bonou","Mixte","Maïs","Maïs","Niébé","Hectare","Hectare","05 à 10 ans","Non","Inondations, Retards de pluies","Baisse de rendement, Pertes totales","Non","Suivre la météo Bénin","Utilisation des variétés résistance aux stress","Semis échelonné","Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","Hebdomadairement","Jamais","Rarement","Jamais","Jamais","Langue/Compréhension","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS, Application mobile, Radio locale","Langues locales","ADJA ET MINA","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Accédez à des formations ou tutoriels en ligne","ONG, Ministère de l'Agriculture, Entreprise privée","Oui","Formations préalable, Gratuité du service","Oui","Non"
