Horodateur,Sexe: ,Age: ,Niveau d' étude :,Nom du viliage / quartier de ville : ,Nom de la commune: ,Type d'agriculture pratiquée :,Principale culture n* 01 :,Principale culture  n* 02 :,Principale culture  n* 03 :,Quelle est votre superfie de maïs cultivée?,Dans quelle mesure aviez vous énoncé la superficie de maïs cultivée ?,Quelle est votre superfie totale cultivée dans votre exploitation?,"Dans quelle mesure aviez vous énoncé la  superfie totale cultivée dans votre exploitation (ha, kanti etc) ?",Années d'expérience agricole   :,"Au cours des 05 dernières années , avez- vous observé des phénomènes climatiques extrêmes qui affectent vos cultures ","Si oui, lesquels ?  ",Quels effets principaux ces phénomènes ont-ils eu sur votre production? ,Disposez-vous actuellement d'un moyen pour anticiper ou gérer ces risques ?,"Si oui, lequel ?  Moyen 01","Si oui, lequel ?  Moyen 02","Si oui, lequel ? Moyen 03",Possédez-vous un téléphone portable ?,Disposez-vous d' un accès régulier à internet?,Utilisez-vous actuellement des outils numériques liés à l'agriculture ?,"Si oui , précisez lesquels :",A quelle fréquence utilisez-vous les Applications mobiles?,A quelle fréquence utilisez-vous les Plateformes web?,A quelle fréquence utilisez-vous les SMS d'alerte météo?,A quelle fréquence utilisez-vous les réseaux sociaux agricoles?,A quelle fréquence utilisez-vous les autres outils?,Quels sont selon vous les principaux obstacles à l'usage du numériques ?,Quelles types d'informations souhaiteriez-vous recevoir via une application agricoles?,Sous quelle forme préférez-vous recevoir ces informations ?,Quelles langues ou formes de communication seraient les plus adaptées? ,Langue locale majoritaire  à préciser ,Souhaiteriez-vous que l'application permette: ,Quelle caractéristique principale considérez- vous  comme la plus utile pour cette application?,"Selon vous , qui devrait gérer ou animer cette application?",Pensez-vous qu'une application numérique pourrait vous aider à mieux gérer les aléas climatiques?,Sous quelles conditions seriez-vous prêt(e) à  l'utiliser ?,"Seriez -vous disposé (e) à contribuer ( en temps ,en données ou  en frais symboliques) pour bénéficier de ce services? ","Avez-vous des suggestions ou d' autres attentes particulières concernant une application agricole pour faire face au changement climatique?
"
19/12/2025 11:53:44,Homme,25 à 40 ans,Supérieure,Baka,Parakou,Mixte,Coton,Maïs ,Soja,10,Hectare ,30,Ha,05 à 10 ans,OUI,"Sécheresses, Retards de pluies","Baisse de rendement, Pertes totales",OUI,Semis précoce ,Utilisation des variétés résistance aux stress ,Semis échelonné ,"Oui , smartphone",Oui,OUI,"Application mobile, Plateforme web",Hebdomadairement,Hebdomadairement,Hebdomadairement,Quotidiennement,Mensuellement,"Manque de réseau, Cout d'accès à internet","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau","SMS, Application mobile, Réseaux sociaux","Francais, Images/Pictogrammes",,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Accédez à des formations ou tutoriels en ligne,"ONG, Ministère de l'Agriculture, Recherche",Oui,"Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations",Oui,
19/12/2025 15:40:50,Homme,25 à 40 ans,Supérieure,Péhunco ,Ouassa-Péhunco ,Pluvial,Maïs ,Soja ,Niébé,2,2,6,Ha,Plus de 10 ans,OUI,"Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Dégradation des sols",Non,,,,"Oui , smartphone",Non,Non,,,,,,,"Manque de réseau, Manque de formation","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau","SMS, Application mobile, Radio locale","Francais, Langues locales",Bariba,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Utilisable en absence de la connexion ,"Coopérative/groupement, ONG, Ministère de l'Agriculture",Oui,"Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations",Oui,
19/12/2025 21:51:22,Homme,25 à 40 ans,Supérieure,Titirou ,Parakou,Pluvial,Maïs,Maïs,Maïs,1/2 ,Hectare ,1 ha,Hectare ,05 à 10 ans,OUI,"Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Dégradation des sols",Non,,,,"Oui , smartphone",Oui,OUI,"Application mobile, Plateforme web, Réseaux sociaux agricoles",Quotidiennement,Mensuellement,Rarement,Quotidiennement,Rarement,"Cout d'accès à internet, Manque de formation, Langue/Compréhension","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux","Francais, Langues locales",Bariba,"D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...)",None ,"Coopérative/groupement, ONG",Oui,Formations préalable,Oui,Non
21/12/2025 16:24:15,Homme,41 à 60 ans,Secondaire,Affamè ,Bonou,Mixte,Tomates ,Choux ,Maïs,2,Hectare ,5,Hectare ,Plus de 10 ans,OUI,"Sécheresses, Retards de pluies, Pluies acides","Baisse de rendement, Maladies ou  ravageurs",OUI,Suivre la météo Bénin ,Internet et les ateliers organisés par le service climatique au Bénin ,Internet et les ateliers ,"Oui , smartphone",Oui,Non,"SMS d'alerte météo, Recherche sur internet ",Quotidiennement,Mensuellement,Hebdomadairement,Mensuellement,Mensuellement,Manque de pertinence des informations,"Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux",Francais,Fongbé,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Utile en hors ligne ,"ONG, Recherche",Oui,"Formations préalable, Interface simple, Langues compréhensibles",Oui,
23/12/2025 11:58:11,Homme,25 à 40 ans,Primaire,ZOKPEDJI ,DOGBO,Pluvial,Maïs ,MANIOC ,NIEBÉ ,15,KANTI,25,KANTI ,Plus de 10 ans,Non,,,Non,,,,"Oui, basique ( appels/ SMS)",Occasionnellement,Non,,,,,,,"Cout d'accès à internet, Langue/Compréhension","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole",Radio locale,Langues locales,ADJA ET MINA,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, Disponibilité des engrais chimiques ",DISPONIBILITÉ DES ENGRAIS CHIMIQUES.,Ministère de l'Agriculture,Non,"Formations préalable, Gratuité du service, Langues compréhensibles",A discuter,LA STABILITÉ DES PRIX DES PRODUITS SUR LE PLAN NATIONAL AINSI QUE LES ENGRAIS CHIMIQUES.
23/12/2025 13:19:53,Homme,41 à 60 ans,Primaire,KPODAHA CENTRE ,DOGBO ,Pluvial,Maïs ,ARACHIDES ,NIEBÉ ,27,KANTI,38,KANTI ,Plus de 10 ans,OUI,"Sécheresses, Retards de pluies",Baisse de rendement,Non,,,,"Oui, basique ( appels/ SMS)",Non,Non,,,,,,,"Manque de formation, Langue/Compréhension","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole",Radio locale,Langues locales,,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' obtenir des conseils personnalisés, Avoir accès aux intrants agricoles.",Accès aux intrants agricoles ,"Ministère de l'Agriculture, DDAEP",Peut- être,"Formations préalable, Gratuité du service",A discuter,
23/12/2025 13:36:27,Femme,41 à 60 ans,Aucun,ADANDRO-AKODE ,DOGBO ,Pluvial,Maïs ,SOJA ,Niebé ,25,KANTI ,43,KANTI ,Plus de 10 ans,OUI,Inondations,"Baisse de rendement, Pertes totales, Dégradation des sols",Non,,,,"Oui, basique ( appels/ SMS)",Non,Non,,,,,,,Langue/Compréhension,"Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles",Radio locale,Langues locales,,La disponibilité des engrais chimiques ,Accès aux intrants agricoles ,Ministère de l'Agriculture,Peut- être,Langues compréhensibles,A discuter,
23/12/2025 15:25:25,Homme,41 à 60 ans,Supérieure,Houekpa kpota,Adjohoun ,Mixte,Ananas,Riz ,Niebé ,5,Hectares ,"20,5",Hectares ,Plus de 10 ans,OUI,"Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes, Mauvaise répartition des pluies, délais court de l'harmattan ","Baisse de rendement, Pertes totales, Maladies ou  ravageurs",Non,,,,"Oui , smartphone",Oui,OUI,"SMS d'alerte météo, Réseaux sociaux agricoles",Hebdomadairement,,Quotidiennement,Quotidiennement,,Manque de formation,"Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Site web, Réseaux sociaux","Francais, Images/Pictogrammes, Audio, Langues locales",Fon Wémè ,"D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Très flexible pour les meilleures formations avec supports et attestations ou diplômes après formations,Structures bien expérimentées,Oui,"Formations préalable, Garantie de fiabilité des informations",A discuter,Formations et vidéos puis des visites d'échanges d'expériences 
29/12/2025 23:30:58,Femme,25 à 40 ans,Supérieure,Bopa/tchanhoué,Bopa,Mixte,Palmiers à huile ,Maïs,Manioc ,4,Hectare,13,Hectare,05 à 10 ans,OUI,"Sécheresses, Inondations, Retards de pluies","Baisse de rendement, Pertes totales",Non,,,,"Oui , smartphone",Oui,OUI,Réseaux sociaux agricoles,Hebdomadairement,Quotidiennement,Rarement,Quotidiennement,Hebdomadairement,Manque de réseau,"Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux, Radio locale","Francais, Audio, Langues locales",,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Bon rendement ,"Coopérative/groupement, Ministère de l'Agriculture, Recherche",Oui,"Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations",Oui,
04/01/2026 21:34:10,Homme,41 à 60 ans,Aucun,Katagon,Misserete ,Pluvial,Palmiers ,,,1,Hectare,1,Hectare,Plus de 10 ans,OUI,"Inondations, Retards de pluies","Maladies ou  ravageurs, Dégradation des sols",Non,,,,Non,Non,Non,,Hebdomadairement,Hebdomadairement,Hebdomadairement,Rarement,Rarement,"Manque de réseau, Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole",Application mobile,Langues locales,Goun,"D'échanger avec d'autres producteurs, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés",Formation technique ,"Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée",Non,"Langues compréhensibles, Garantie de fiabilité des informations",Oui,Non
